locus_tag	ftype	length_bp	gene	EC_number	COG	product
PFAMOPBP_00001	CDS	399				hypothetical protein
PFAMOPBP_00002	CDS	528	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
PFAMOPBP_00003	CDS	1008		3.5.1.11		Penicillin acylase
PFAMOPBP_00004	CDS	3660	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
PFAMOPBP_00005	CDS	3666	rpoB_1	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
PFAMOPBP_00006	CDS	1284	clpC_1			ATP-dependent Clp protease ATP-binding subunit ClpC
PFAMOPBP_00007	CDS	441				hypothetical protein
PFAMOPBP_00008	CDS	369				hypothetical protein
PFAMOPBP_00009	CDS	360				hypothetical protein
PFAMOPBP_00010	CDS	1020				hypothetical protein
PFAMOPBP_00011	CDS	555				hypothetical protein
PFAMOPBP_00012	CDS	1026				hypothetical protein
PFAMOPBP_00013	CDS	1437				hypothetical protein
PFAMOPBP_00014	CDS	1251				hypothetical protein
PFAMOPBP_00015	CDS	843				hypothetical protein
PFAMOPBP_00016	tRNA	74				tRNA-Leu(taa)
PFAMOPBP_00017	CDS	489				hypothetical protein
PFAMOPBP_00018	CDS	498				hypothetical protein
PFAMOPBP_00019	CDS	510				hypothetical protein
PFAMOPBP_00020	CDS	159				hypothetical protein
PFAMOPBP_00021	CDS	480	ssb		COG0629	Single-stranded DNA-binding protein
PFAMOPBP_00022	CDS	417				hypothetical protein
PFAMOPBP_00023	CDS	1056				hypothetical protein
PFAMOPBP_00024	CDS	1053				hypothetical protein
PFAMOPBP_00025	CDS	1044	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
PFAMOPBP_00026	CDS	789	ydcV			Inner membrane ABC transporter permease protein YdcV
PFAMOPBP_00027	CDS	831				hypothetical protein
PFAMOPBP_00028	CDS	1065	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
PFAMOPBP_00029	CDS	1188	dapX_1	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
PFAMOPBP_00030	CDS	510	dapB_1	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
PFAMOPBP_00031	CDS	1281	hisS_1	6.1.1.21		Histidine--tRNA ligase
PFAMOPBP_00032	CDS	1758	aspS_1	6.1.1.12		Aspartate--tRNA ligase
PFAMOPBP_00033	CDS	438	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
PFAMOPBP_00034	CDS	879				hypothetical protein
PFAMOPBP_00035	CDS	897	nfo	3.1.21.2	COG0648	putative endonuclease 4
PFAMOPBP_00036	CDS	237				hypothetical protein
PFAMOPBP_00037	CDS	324				hypothetical protein
PFAMOPBP_00038	CDS	465				hypothetical protein
PFAMOPBP_00039	CDS	1149				hypothetical protein
PFAMOPBP_00040	CDS	549				hypothetical protein
PFAMOPBP_00041	CDS	1716				hypothetical protein
PFAMOPBP_00042	CDS	300				hypothetical protein
PFAMOPBP_00043	CDS	423				hypothetical protein
PFAMOPBP_00044	CDS	171				hypothetical protein
PFAMOPBP_00045	CDS	396				hypothetical protein
PFAMOPBP_00046	CDS	279				hypothetical protein
PFAMOPBP_00047	CDS	441				hypothetical protein
PFAMOPBP_00048	CDS	1113				hypothetical protein
PFAMOPBP_00049	CDS	972	ldh_1	1.1.1.27	COG0039	L-lactate dehydrogenase
PFAMOPBP_00050	CDS	558	pth	3.1.1.29		Peptidyl-tRNA hydrolase
PFAMOPBP_00051	CDS	3513	mfd	3.6.4.-		Transcription-repair-coupling factor
PFAMOPBP_00052	CDS	156				hypothetical protein
PFAMOPBP_00053	CDS	399				hypothetical protein
PFAMOPBP_00054	CDS	447				hypothetical protein
PFAMOPBP_00055	CDS	390				hypothetical protein
PFAMOPBP_00056	CDS	1077				hypothetical protein
