locus_tag	ftype	length_bp	gene	EC_number	COG	product
FFJDIFIP_00001	CDS	408	rplC		COG0087	50S ribosomal protein L3
FFJDIFIP_00002	CDS	621	rplD		COG0088	50S ribosomal protein L4
FFJDIFIP_00003	CDS	315	rplW		COG0089	50S ribosomal protein L23
FFJDIFIP_00004	CDS	837	rplB		COG0090	50S ribosomal protein L2
FFJDIFIP_00005	CDS	276	rpsS		COG0185	30S ribosomal protein S19
FFJDIFIP_00006	CDS	330	rplV		COG0091	50S ribosomal protein L22
FFJDIFIP_00007	CDS	705	rpsC		COG0092	30S ribosomal protein S3
FFJDIFIP_00008	CDS	417	rplP		COG0197	50S ribosomal protein L16
FFJDIFIP_00009	CDS	192	rpmC		COG0255	50S ribosomal protein L29
FFJDIFIP_00010	CDS	264	rpsQ		COG0186	30S ribosomal protein S17
FFJDIFIP_00011	CDS	369	rplN		COG0093	50S ribosomal protein L14
FFJDIFIP_00012	CDS	324	rplX		COG0198	50S ribosomal protein L24
FFJDIFIP_00013	CDS	540	rplE		COG0094	50S ribosomal protein L5
FFJDIFIP_00014	CDS	306	rpsN		COG0199	30S ribosomal protein S14
FFJDIFIP_00015	CDS	393	rpsH		COG0096	30S ribosomal protein S8
FFJDIFIP_00016	CDS	534	rplF		COG0097	50S ribosomal protein L6
FFJDIFIP_00017	CDS	354	rplR		COG0256	50S ribosomal protein L18
FFJDIFIP_00018	CDS	519	rpsE		COG0098	30S ribosomal protein S5
FFJDIFIP_00019	CDS	186	rpmD		COG1841	50S ribosomal protein L30
FFJDIFIP_00020	CDS	1908	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
FFJDIFIP_00021	CDS	462	infC		COG0290	Translation initiation factor IF-3
FFJDIFIP_00022	CDS	294				hypothetical protein
FFJDIFIP_00023	CDS	357	rplT			50S ribosomal protein L20
FFJDIFIP_00024	CDS	435	rplO		COG0200	50S ribosomal protein L15
FFJDIFIP_00025	CDS	1317	secY		COG0201	Protein translocase subunit SecY
FFJDIFIP_00026	CDS	219	infA			Translation initiation factor IF-1
FFJDIFIP_00027	CDS	363	rpsM		COG0099	30S ribosomal protein S13
FFJDIFIP_00028	CDS	393	rpsK		COG0100	30S ribosomal protein S11
FFJDIFIP_00029	CDS	621	rpsD		COG0522	30S ribosomal protein S4
FFJDIFIP_00030	CDS	987	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
FFJDIFIP_00031	CDS	384	rplQ		COG0203	50S ribosomal protein L17
FFJDIFIP_00032	CDS	891	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
FFJDIFIP_00033	CDS	333	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
FFJDIFIP_00034	CDS	612	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
FFJDIFIP_00035	CDS	1986	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
FFJDIFIP_00036	CDS	891	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
FFJDIFIP_00037	CDS	1575				hypothetical protein
FFJDIFIP_00038	tRNA	75				tRNA-Trp(cca)
FFJDIFIP_00039	CDS	1632	norR			Anaerobic nitric oxide reductase transcription regulator NorR
FFJDIFIP_00040	CDS	2379	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
FFJDIFIP_00041	CDS	1227	leuS	6.1.1.4		Leucine--tRNA ligase
FFJDIFIP_00042	CDS	270				hypothetical protein
FFJDIFIP_00043	CDS	273	ftsL			Cell division protein FtsL
FFJDIFIP_00044	CDS	945	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
FFJDIFIP_00045	CDS	456	mraZ			Transcriptional regulator MraZ
FFJDIFIP_00046	CDS	423	atpC		COG0355	ATP synthase epsilon chain
FFJDIFIP_00047	CDS	1398	atpD1	7.1.2.2		ATP synthase subunit beta 1
FFJDIFIP_00048	CDS	876	atpG		COG0224	ATP synthase gamma chain
FFJDIFIP_00049	CDS	1392	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
FFJDIFIP_00050	CDS	810	fetB		COG0390	putative iron export permease protein FetB
FFJDIFIP_00051	CDS	717	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
FFJDIFIP_00052	CDS	942	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
FFJDIFIP_00053	CDS	486	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
FFJDIFIP_00054	CDS	897	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
FFJDIFIP_00055	CDS	654	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
FFJDIFIP_00056	CDS	651				hypothetical protein
