locus_tag	ftype	length_bp	gene	EC_number	COG	product
HIPDJCPK_00001	CDS	198				hypothetical protein
HIPDJCPK_00002	CDS	237				hypothetical protein
HIPDJCPK_00003	CDS	174				hypothetical protein
HIPDJCPK_00004	CDS	186				hypothetical protein
HIPDJCPK_00005	CDS	267				hypothetical protein
HIPDJCPK_00006	CDS	252				hypothetical protein
HIPDJCPK_00007	CDS	222				hypothetical protein
HIPDJCPK_00008	CDS	249				hypothetical protein
HIPDJCPK_00009	CDS	222				hypothetical protein
HIPDJCPK_00010	CDS	354				hypothetical protein
HIPDJCPK_00011	CDS	156				hypothetical protein
HIPDJCPK_00012	CDS	474				hypothetical protein
HIPDJCPK_00013	CDS	225				hypothetical protein
HIPDJCPK_00014	CDS	198				hypothetical protein
HIPDJCPK_00015	CDS	102				hypothetical protein
HIPDJCPK_00016	CDS	207				hypothetical protein
HIPDJCPK_00017	CDS	444				hypothetical protein
HIPDJCPK_00018	CDS	156				hypothetical protein
HIPDJCPK_00019	CDS	189				hypothetical protein
HIPDJCPK_00020	CDS	216				hypothetical protein
HIPDJCPK_00021	CDS	270				hypothetical protein
HIPDJCPK_00022	CDS	108				hypothetical protein
HIPDJCPK_00023	CDS	198				hypothetical protein
HIPDJCPK_00024	CDS	225				hypothetical protein
HIPDJCPK_00025	CDS	273				hypothetical protein
HIPDJCPK_00026	CDS	345				hypothetical protein
HIPDJCPK_00027	CDS	144				hypothetical protein
HIPDJCPK_00028	CDS	207				hypothetical protein
HIPDJCPK_00029	CDS	147				hypothetical protein
HIPDJCPK_00030	CDS	627				hypothetical protein
HIPDJCPK_00031	CDS	186				hypothetical protein
HIPDJCPK_00032	CDS	159				hypothetical protein
HIPDJCPK_00033	CDS	246				hypothetical protein
HIPDJCPK_00034	CDS	267	upp	2.4.2.9		Uracil phosphoribosyltransferase
HIPDJCPK_00035	CDS	348	udk	2.7.1.48		Uridine kinase
HIPDJCPK_00036	CDS	162				hypothetical protein
HIPDJCPK_00037	CDS	162				hypothetical protein
HIPDJCPK_00038	CDS	180				hypothetical protein
HIPDJCPK_00039	CDS	285				hypothetical protein
HIPDJCPK_00040	CDS	150				hypothetical protein
HIPDJCPK_00041	CDS	324				hypothetical protein
HIPDJCPK_00042	CDS	183				hypothetical protein
HIPDJCPK_00043	CDS	189				hypothetical protein
HIPDJCPK_00044	CDS	351				hypothetical protein
HIPDJCPK_00045	CDS	216				hypothetical protein
HIPDJCPK_00046	CDS	351				hypothetical protein
HIPDJCPK_00047	CDS	138				hypothetical protein
HIPDJCPK_00048	CDS	312				hypothetical protein
HIPDJCPK_00049	CDS	198				hypothetical protein
HIPDJCPK_00050	CDS	270				hypothetical protein
HIPDJCPK_00051	CDS	216				hypothetical protein
HIPDJCPK_00052	CDS	240				hypothetical protein
HIPDJCPK_00053	CDS	216				hypothetical protein
HIPDJCPK_00054	CDS	132				hypothetical protein
HIPDJCPK_00055	CDS	303				hypothetical protein
HIPDJCPK_00056	CDS	243				hypothetical protein
HIPDJCPK_00057	CDS	411				hypothetical protein
HIPDJCPK_00058	CDS	321				hypothetical protein
HIPDJCPK_00059	CDS	273				hypothetical protein
HIPDJCPK_00060	CDS	336				hypothetical protein
HIPDJCPK_00061	CDS	333				hypothetical protein
HIPDJCPK_00062	CDS	432				hypothetical protein
HIPDJCPK_00063	CDS	633				hypothetical protein
HIPDJCPK_00064	CDS	135				hypothetical protein
HIPDJCPK_00065	CDS	282				hypothetical protein
HIPDJCPK_00066	CDS	312				hypothetical protein
HIPDJCPK_00067	CDS	438				hypothetical protein
HIPDJCPK_00068	CDS	264				hypothetical protein
HIPDJCPK_00069	CDS	243				hypothetical protein
HIPDJCPK_00070	CDS	216				hypothetical protein
HIPDJCPK_00071	CDS	234				hypothetical protein
HIPDJCPK_00072	CDS	195				hypothetical protein
HIPDJCPK_00073	CDS	258				hypothetical protein
HIPDJCPK_00074	CDS	426				hypothetical protein
HIPDJCPK_00075	CDS	267				hypothetical protein
HIPDJCPK_00076	CDS	591				hypothetical protein
HIPDJCPK_00077	CDS	507				hypothetical protein
HIPDJCPK_00078	CDS	174				hypothetical protein
HIPDJCPK_00079	CDS	246				hypothetical protein
HIPDJCPK_00080	CDS	156				hypothetical protein
HIPDJCPK_00081	CDS	168				hypothetical protein
HIPDJCPK_00082	CDS	198				hypothetical protein
HIPDJCPK_00083	CDS	255				hypothetical protein
HIPDJCPK_00084	CDS	690				hypothetical protein
HIPDJCPK_00085	CDS	906				hypothetical protein
HIPDJCPK_00086	CDS	306				hypothetical protein
HIPDJCPK_00087	CDS	321				hypothetical protein
HIPDJCPK_00088	CDS	177				hypothetical protein
HIPDJCPK_00089	CDS	258				hypothetical protein
HIPDJCPK_00090	CDS	246				hypothetical protein
HIPDJCPK_00091	CDS	342				hypothetical protein
HIPDJCPK_00092	CDS	213				hypothetical protein
HIPDJCPK_00093	CDS	342				hypothetical protein
HIPDJCPK_00094	CDS	156				hypothetical protein
HIPDJCPK_00095	CDS	162				hypothetical protein
HIPDJCPK_00096	CDS	321				hypothetical protein
HIPDJCPK_00097	CDS	237				hypothetical protein
HIPDJCPK_00098	CDS	267				hypothetical protein
HIPDJCPK_00099	CDS	237				hypothetical protein
HIPDJCPK_00100	CDS	309				hypothetical protein
HIPDJCPK_00101	CDS	342				hypothetical protein
HIPDJCPK_00102	CDS	417				hypothetical protein
HIPDJCPK_00103	CDS	294				hypothetical protein
HIPDJCPK_00104	CDS	513				hypothetical protein
HIPDJCPK_00105	CDS	246				hypothetical protein
HIPDJCPK_00106	CDS	732				hypothetical protein
HIPDJCPK_00107	CDS	357				hypothetical protein
HIPDJCPK_00108	CDS	309				hypothetical protein
HIPDJCPK_00109	CDS	345				hypothetical protein
HIPDJCPK_00110	CDS	294				hypothetical protein
HIPDJCPK_00111	CDS	327				hypothetical protein
HIPDJCPK_00112	CDS	150				hypothetical protein
HIPDJCPK_00113	CDS	252				hypothetical protein
HIPDJCPK_00114	CDS	291				hypothetical protein
HIPDJCPK_00115	CDS	471				hypothetical protein
HIPDJCPK_00116	CDS	303				hypothetical protein
HIPDJCPK_00117	CDS	321				hypothetical protein
HIPDJCPK_00118	CDS	201				hypothetical protein
HIPDJCPK_00119	CDS	480				hypothetical protein
HIPDJCPK_00120	CDS	204				hypothetical protein
HIPDJCPK_00121	CDS	225				hypothetical protein
HIPDJCPK_00122	CDS	165				hypothetical protein
HIPDJCPK_00123	CDS	252				hypothetical protein
HIPDJCPK_00124	CDS	297				hypothetical protein
HIPDJCPK_00125	CDS	171				hypothetical protein
HIPDJCPK_00126	CDS	399				hypothetical protein
HIPDJCPK_00127	CDS	168				hypothetical protein
HIPDJCPK_00128	CDS	156				hypothetical protein
HIPDJCPK_00129	CDS	267				hypothetical protein
HIPDJCPK_00130	CDS	438				hypothetical protein
HIPDJCPK_00131	CDS	366				hypothetical protein
HIPDJCPK_00132	CDS	255				hypothetical protein
HIPDJCPK_00133	CDS	720				hypothetical protein
HIPDJCPK_00134	CDS	297				hypothetical protein
HIPDJCPK_00135	CDS	309				hypothetical protein
HIPDJCPK_00136	CDS	258				hypothetical protein
HIPDJCPK_00137	CDS	213				hypothetical protein
HIPDJCPK_00138	CDS	189				hypothetical protein
HIPDJCPK_00139	CDS	132				hypothetical protein
HIPDJCPK_00140	CDS	300				hypothetical protein
HIPDJCPK_00141	CDS	306				hypothetical protein
HIPDJCPK_00142	CDS	168				hypothetical protein
HIPDJCPK_00143	CDS	321				hypothetical protein
HIPDJCPK_00144	CDS	417				hypothetical protein
HIPDJCPK_00145	CDS	273				hypothetical protein
HIPDJCPK_00146	CDS	117				hypothetical protein
HIPDJCPK_00147	CDS	330				hypothetical protein
HIPDJCPK_00148	CDS	198				hypothetical protein
HIPDJCPK_00149	CDS	141				hypothetical protein
HIPDJCPK_00150	CDS	186				hypothetical protein
HIPDJCPK_00151	CDS	657				hypothetical protein
HIPDJCPK_00152	CDS	189				hypothetical protein
HIPDJCPK_00153	CDS	240				hypothetical protein
HIPDJCPK_00154	CDS	510				hypothetical protein
HIPDJCPK_00155	CDS	276				hypothetical protein
HIPDJCPK_00156	CDS	228				hypothetical protein
HIPDJCPK_00157	CDS	198				hypothetical protein
HIPDJCPK_00158	CDS	228				hypothetical protein
HIPDJCPK_00159	CDS	258				hypothetical protein
HIPDJCPK_00160	CDS	330				hypothetical protein
HIPDJCPK_00161	CDS	219				hypothetical protein
HIPDJCPK_00162	CDS	1416				hypothetical protein
HIPDJCPK_00163	CDS	168				hypothetical protein
HIPDJCPK_00164	CDS	318				hypothetical protein
HIPDJCPK_00165	CDS	201				hypothetical protein
HIPDJCPK_00166	CDS	708				hypothetical protein
HIPDJCPK_00167	CDS	192				hypothetical protein
HIPDJCPK_00168	CDS	243				hypothetical protein
HIPDJCPK_00169	CDS	522				hypothetical protein
HIPDJCPK_00170	CDS	147				hypothetical protein
HIPDJCPK_00171	CDS	186				hypothetical protein
HIPDJCPK_00172	CDS	237				hypothetical protein
HIPDJCPK_00173	CDS	270				hypothetical protein
HIPDJCPK_00174	CDS	231				hypothetical protein
HIPDJCPK_00175	CDS	237				hypothetical protein
HIPDJCPK_00176	CDS	636				hypothetical protein
HIPDJCPK_00177	CDS	777	nucM	3.1.21.-	COG2356	Nuclease NucM
HIPDJCPK_00178	CDS	342	umuD	3.4.21.-	COG1974	Protein UmuD
HIPDJCPK_00179	CDS	258				hypothetical protein
HIPDJCPK_00180	CDS	132				hypothetical protein
HIPDJCPK_00181	CDS	147				hypothetical protein
HIPDJCPK_00182	CDS	156				hypothetical protein
HIPDJCPK_00183	CDS	168				hypothetical protein
HIPDJCPK_00184	CDS	279				hypothetical protein
HIPDJCPK_00185	CDS	333				hypothetical protein
HIPDJCPK_00186	CDS	138				hypothetical protein
HIPDJCPK_00187	CDS	315				hypothetical protein
HIPDJCPK_00188	CDS	150				hypothetical protein
HIPDJCPK_00189	CDS	180				hypothetical protein
HIPDJCPK_00190	CDS	276				hypothetical protein
HIPDJCPK_00191	CDS	222				hypothetical protein
HIPDJCPK_00192	CDS	306				hypothetical protein
HIPDJCPK_00193	CDS	444				hypothetical protein
HIPDJCPK_00194	CDS	210				hypothetical protein
HIPDJCPK_00195	CDS	138				hypothetical protein
HIPDJCPK_00196	CDS	189				hypothetical protein
HIPDJCPK_00197	CDS	171				hypothetical protein
HIPDJCPK_00198	CDS	138				hypothetical protein
HIPDJCPK_00199	CDS	240				hypothetical protein
HIPDJCPK_00200	CDS	333				hypothetical protein
HIPDJCPK_00201	CDS	198				hypothetical protein
HIPDJCPK_00202	CDS	204				hypothetical protein
HIPDJCPK_00203	CDS	462				hypothetical protein
HIPDJCPK_00204	CDS	285				hypothetical protein
HIPDJCPK_00205	CDS	207				hypothetical protein
HIPDJCPK_00206	CDS	183				hypothetical protein
HIPDJCPK_00207	CDS	318	hlyB		COG2274	Alpha-hemolysin translocation ATP-binding protein HlyB
HIPDJCPK_00208	tRNA	74				tRNA-Arg(cct)
